Id,User Id,Mentions,Hashtags,Filtered Text,Polarity,Subjectivity,Compound Score,Cluster Label,,
1.25E+18,169515767,black_bhoy_,,girlfriend found lipstick pocket admit straightway cheat want know sell makeu,0,0,-0.4404,0,,
1.25E+18,1.04E+18,JamesOKeefeIII,EpsteinCoverup,one word abc ami robach scandal newsworthi abc collud cb fi,0,0,-0.4404,0,,
1.25E+18,1.07E+18,kaylinbitchh,,perfer talk thing block em,0,0,-0.4404,0,,
1.25E+18,484536958,black_bhoy_,,girlfriend found lipstick pocket admit straightway cheat want know sell makeu,0,0,-0.4404,0,,
1.25E+18,1.10E+18,ZMyersOfficial,,year ago life knew point chang scare mind alway w,0,0,-0.4404,0,,
1.25E+18,3258843324,ANI,,initi author said everyon would get ration lockdown later deni give christian also,0,0,-0.4404,0,,
1.25E+18,54516468,black_bhoy_,,girlfriend found lipstick pocket admit straightway cheat want know sell makeu,0,0,-0.4404,0,,
1.25E+18,1.22E+18,UnitedRedscom,,robin van persi nemanja put head player scare put feet nemanja vidic,0,0,-0.4404,0,,
1.25E+18,2849710368,black_bhoy_,,girlfriend found lipstick pocket admit straightway cheat want know sell makeu,0,0,-0.4404,0,,
1.25E+18,240004768,"LanceRising, tenderbiscuit, cxerralvnae, el_budget",,tell problemat one group even host reel h,0,0,-0.4404,0,,
1.25E+18,2972619621,ghoul_spice,,someon come get freak,0,0,-0.4404,0,,
1.25E+18,350667037,"xaddycorvinusxx, rellsavaqexx, iCreamDickz",SubscribeAndBust,suck social distanc thing,0.033333333,0.066666667,-0.4404,0,,
1.25E+18,1.25E+18,jimtankersley,,white hous economist project last septemb pandem unit state could kill k inflict,0,0.033333333,-0.4404,0,,
1.25E+18,1322794944,hiddlesgold,,side villain look like,0,0,-0.4404,0,,
1.25E+18,7.30E+17,Koreaboo,,reveluv name april fool day iren day fansit group post photo hour,0,0,-0.4404,0,,
1.25E+18,380988541,chathootti,,mullah spread viru kashmir andaman local mullah enabl visa violat hidden mosqu resi,-0.083333333,0.166666667,-0.4404,0,,
1.25E+18,1.05E+18,black_bhoy_,,girlfriend found lipstick pocket admit straightway cheat want know sell makeu,0,0,-0.4404,0,,
1.25E+18,109249773,PrabuSr_,,someon april fool,0,0,-0.4404,0,,
1.25E+18,54500785,TheAndyMaturin,,spoke mum today said feel societi think gener burden eendabl,0,0,-0.4404,0,,
1.25E+18,1425210032,TheAndyMaturin,,spoke mum today said feel societi think gener burden eendabl,0,0,-0.4404,0,,
1.25E+18,1.12E+18,ghoul_spice,,someon come get freak,0,0,-0.4404,0,,
1.25E+18,9.39E+17,SBphiloz4,,claudin part french franc april fool day call poisson avril loos translat april fish,-0.038461538,0.134615385,-0.4404,0,,
1.25E+18,1.04E+18,black_bhoy_,,girlfriend found lipstick pocket admit straightway cheat want know sell makeu,0,0,-0.4404,0,,
1.25E+18,1.03E+18,"shonenzup_us, bst_anime",,beastar season take place april episod fuji tv ultra program block http,0,0,-0.4404,0,,
1.25E+18,1.21E+18,ANI,,initi author said everyon would get ration lockdown later deni give christian also,0,0,-0.4404,0,,
1.25E+18,1.07E+18,wethsworld,,vs guy tell worri,0,0,-0.4404,0,,
1.25E+18,2877324448,lameravioli,,lmk relat block,0,0,-0.4404,0,,
1.25E+18,1.19E+18,myeonmehmeh,,power time jm tempo promo came kai amp even though us burden still less,-0.166666667,0.066666667,-0.4404,0,,
1.25E+18,27851796,madnewsblog,,tell pier tabloid journalist word discuss pandem creat panic anxieti,0,0,-0.4404,0,,
1.25E+18,7.89E+17,ANI,,initi author said everyon would get ration lockdown later deni give christian also,0,0,-0.4404,0,,
1.25E+18,371996088,black_bhoy_,,girlfriend found lipstick pocket admit straightway cheat want know sell makeu,0,0,-0.4404,0,,
1.25E+18,1.25E+18,"mujt_181, iamsubtainafzal",,onin class problem problem internet connect like said us belong,0,0,-0.4404,0,,
1.25E+18,4184855129,jimtankersley,,white hous economist project last septemb pandem unit state could kill k inflict,0,0.033333333,-0.4404,0,,
1.25E+18,11972222,captainuwu,,realli say anyth april fool shot movi comeback start co,0.2,0.2,-0.4404,0,,
1.25E+18,2189350190,WokeasfC,,treason,0,0,-0.4404,0,,
1.25E+18,1.19E+18,PspkHarish,"12yearsforJALSA, JalsaTrendOnApril1, Jalsa, 12YearsForJALSA",block buster tfi record breaker movi follow ht,0,0,-0.4404,0,,
1.25E+18,1.16E+18,Koreaboo,,reveluv name april fool day iren day fansit group post photo hour,0,0,-0.4404,0,,
1.25E+18,7.70E+17,Koreaboo,,reveluv name april fool day iren day fansit group post photo hour,0,0,-0.4404,0,,
1.25E+18,2457377211,theezkay,,men actual cook let fool,0,0.1,-0.4404,0,,
1.25E+18,2676126217,PrabuSr_,,someon april fool,0,0,-0.4404,0,,
1.25E+18,1.11E+18,saahilmenghani,"VERIFIED, CoronaLockdown",policemen deploy across delhi may target isi attack could,0,0,-0.4404,0,,
1.25E+18,1.00E+18,hotxniggaz,,scare mom hous,0,0,-0.4404,0,,
1.25E+18,2198765961,tinkerbell9958,,histori april april calld fool day aftr steve april born st april busi,0,0,-0.4404,0,,
1.25E+18,3833805194,cheryl_kernot,COVID19au,coronaviru australia coastal commun frighten urban flight,0,0,-0.4404,0,,
1.25E+18,2416199047,chathootti,,mullah spread viru kashmir andaman local mullah enabl visa violat hidden mosqu resi,-0.083333333,0.166666667,-0.4404,0,,
1.25E+18,1.13E+18,myeonmehmeh,,power time jm tempo promo came kai amp even though us burden still less,-0.166666667,0.066666667,-0.4404,0,,
1.25E+18,27036178,Lisa_Haven,,lost eagl white hous gather food shortag busi close million laid school,-0.05,0.05,-0.4404,0,,
1.25E+18,3001607097,AJemaineClement,,world need pandem attack lung,0,0,-0.4404,0,,
1.25E+18,1.15E+18,"shonenzup_us, bst_anime",,beastar season take place april episod fuji tv ultra program block http,0,0,-0.4404,0,,
1.25E+18,100643234,jimtankersley,,white hous economist project last septemb pandem unit state could kill k inflict,0,0.033333333,-0.4404,0,,
1.25E+18,1.03E+18,ANI,,initi author said everyon would get ration lockdown later deni give christian also,0,0,-0.4404,0,,
1.25E+18,14314815,jimtankersley,,white hous economist project last septemb pandem unit state could kill k inflict,0,0.033333333,-0.4404,0,,
1.25E+18,224633867,"kayakendall, Jim59015446, SafiMaasai, BlueHenArt, amteve",,watch listen avers nausea brought stupidi,0,0,-0.4404,0,,
